ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,CITY,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,Unnamed: 18
10107,30,95.7,2,2871.0,2003-02-24,shipped,1,2,2003,motorcycles,s10_1678,land of toys inc.,nyc,Usa,yu,kwai,small,land of toys inc.
10121,34,81.35,5,2765.9,,shipped,2,5,2003,motorcycles,s10_1678,reims collectables,reims,France,henriot,paul,small,
10134,41,94.74,2,3884.34,,shipped,3,7,2003,motorcycles,s10_1678,lyon souveniers,paris,France,da cunha,daniel,medium,
10145,45,83.26,6,3746.7,2003-08-25,shipped,3,8,2003,motorcycles,s10_1678,toys4grownups.com,pasadena,Usa,young,julie,medium,
10159,49,100.0,14,5205.27,,shipped,4,10,2003,motorcycles,s10_1678,corporate gift ideas co.,san francisco,Usa,brown,julie,medium,
10168,36,96.66,1,3479.76,2003-10-28,shipped,4,10,2003,motorcycles,s10_1678,technics stores inc.,burlingame,Usa,hirano,juri,medium,
10180,29,86.13,9,2497.77,,shipped,4,11,2003,motorcycles,s10_1678,daedalus designs imports,lille,France,rance,martine,small,
10188,48,100.0,1,5512.32,2003-11-18,shipped,4,11,2003,motorcycles,s10_1678,herkku gifts,bergen,Norway,oeztan,veysel,medium,
10201,22,98.57,2,2168.54,,shipped,4,12,2003,motorcycles,s10_1678,mini wheels co.,san francisco,Usa,murphy,julie,small,
10211,41,100.0,14,4708.44,2004-01-15,shipped,1,1,2004,motorcycles,s10_1678,auto canal petit,paris,France,perrier,dominique,medium,
10223,37,100.0,1,3965.66,2004-02-20,shipped,1,2,2004,motorcycles,s10_1678,"australian collectors, co.",melbourne,Australia,ferguson,peter,medium,
10237,23,100.0,7,2333.12,,shipped,2,4,2004,motorcycles,s10_1678,vitachrome inc.,nyc,Usa,frick,michael,small,
10251,28,100.0,2,3188.64,2004-05-18,shipped,2,5,2004,motorcycles,s10_1678,tekni collectables inc.,newark,Usa,brown,william,medium,
10263,34,100.0,2,3676.76,2004-06-28,shipped,2,6,2004,motorcycles,s10_1678,gift depot inc.,bridgewater,Usa,king,julie,medium,
10275,45,92.83,1,4177.35,2004-07-23,shipped,3,7,2004,motorcycles,s10_1678,la rochelle gifts,nantes,France,labrune,janine,medium,
10285,36,100.0,6,4099.68,2004-08-27,shipped,3,8,2004,motorcycles,s10_1678,marta's replicas co.,cambridge,Usa,hernandez,marta,medium,
10299,23,100.0,9,2597.39,2004-09-30,shipped,3,9,2004,motorcycles,s10_1678,"toys of finland, co.",helsinki,Finland,karttunen,matti,small,
10309,41,100.0,5,4394.38,2004-10-15,shipped,4,10,2004,motorcycles,s10_1678,baane mini imports,stavern,Norway,bergulfsen,jonas,medium,
10318,46,94.74,1,4358.04,,shipped,4,11,2004,motorcycles,s10_1678,diecast classics inc.,allentown,Usa,yu,kyung,medium,
10329,42,100.0,1,4396.14,2004-11-15,shipped,4,11,2004,motorcycles,s10_1678,land of toys inc.,nyc,Usa,yu,kwai,medium,
10341,41,100.0,9,7737.93,2004-11-24,shipped,4,11,2004,motorcycles,s10_1678,salzburg collectables,salzburg,Austria,pipps,georg,large,
10361,20,72.55,13,1451.0,2004-12-17,shipped,4,12,2004,motorcycles,s10_1678,souveniers and things co.,chatswood,Australia,huxley,adrian,small,
10375,21,34.91,12,733.11,,shipped,1,2,2005,motorcycles,s10_1678,la rochelle gifts,nantes,France,labrune,janine,small,
10388,42,76.36,4,3207.12,,shipped,1,3,2005,motorcycles,s10_1678,fungiftideas.com,new bedford,Usa,benitez,violeta,medium,
10403,24,100.0,7,2434.56,,shipped,2,4,2005,motorcycles,s10_1678,"uk collectables, ltd.",liverpool,Uk,devon,elizabeth,small,
10417,66,100.0,2,7516.08,2005-05-13,disputed,2,5,2005,motorcycles,s10_1678,euro shopping channel,madrid,Spain,freyre,diego,large,
10103,26,100.0,11,5404.62,2003-01-29,shipped,1,1,2003,classic cars,s10_1949,baane mini imports,stavern,Norway,bergulfsen,jonas,medium,
10112,29,100.0,1,7209.11,2003-03-24,shipped,1,3,2003,classic cars,s10_1949,"volvo model replicas, co",lule,Sweden,berglund,christina,large,
10126,38,100.0,11,7329.06,2003-05-28,shipped,2,5,2003,classic cars,s10_1949,"corrida auto replicas, ltd",madrid,Spain,sommer,mart¡n,large,
10140,37,100.0,11,7374.1,2003-07-24,shipped,3,7,2003,classic cars,s10_1949,technics stores inc.,burlingame,Usa,hirano,juri,large,
10150,45,100.0,8,10993.5,2003-09-19,shipped,3,9,2003,classic cars,s10_1949,"dragon souveniers, ltd.",singapore,Singapore,natividad,eric,large,
10163,21,100.0,1,4860.24,2003-10-20,shipped,4,10,2003,classic cars,s10_1949,classic legends inc.,nyc,Usa,hernandez,maria,medium,
10174,34,100.0,4,8014.82,,shipped,4,11,2003,classic cars,s10_1949,"australian gift network, co",south brisbane,Australia,calaghan,tony,large,
10183,23,100.0,8,5372.57,2003-11-13,shipped,4,11,2003,classic cars,s10_1949,"classic gift ideas, inc",philadelphia,Usa,cervantes,francisca,medium,
10194,42,100.0,11,7290.36,2003-11-25,shipped,4,11,2003,classic cars,s10_1949,"saveley & henriot, co.",lyon,France,saveley,mary,large,
10206,47,100.0,6,9064.89,,shipped,4,12,2003,classic cars,s10_1949,canadian gift exchange network,vancouver,Canada,tannamuri,yoshi,large,
10215,35,100.0,3,6075.3,2004-01-29,shipped,1,1,2004,classic cars,s10_1949,west coast collectables co.,burbank,Usa,thompson,steve,medium,
10228,29,100.0,2,6463.23,,shipped,1,3,2004,classic cars,s10_1949,cambridge collectables co.,cambridge,Usa,tseng,kyung,medium,
